place_id,name,address,latitude,longitude,total_reviews,avg_rating,avg_polarity,positive_reviews,negative_reviews,neutral_reviews,positive_ratio,negative_ratio,sentiment_score
ChIJrzZmArHVmwARn333wLjty74,Palácio Guanabara,"R. Pinheiro Machado, s/nº - Laranjeiras, Rio de Janeiro - RJ, 22231-090, Brazil",-22.937549,-43.18388710000001,5,4.6,0.29027777777777775,5,0,0,1.0,0.0,5
ChIJNfsZ_rhXuAARjNK8xskk1zU,Posto Shell,"Rod. Jones dos Santos Neves, 15 - Várzea Nova, Guarapari - ES, 29211-630, Brazil",-20.6278068,-40.52683469999999,20,1.8,0.06666666666666667,4,0,16,0.2,0.0,4
ChIJqQlNbXPj3JQRurk1qMuBQCc,Posto Shell Colossal Mercês,"R. Martim Afonso, 700 - Mercês, Curitiba - PR, 80430-100, Brazil",-25.428161,-49.284577,5,4.6,0.40864583333333326,4,0,1,0.8,0.0,4
ChIJIx0Jx57DmQARaIuHYGedbaw,Posto Retiro dos Bandeirantes,"BR-101, KM 276 - 641 s/n - Bandeirantes, Tanguá - RJ, 24890-000, Brazil",-22.7388837,-42.7509647,4,5.0,0.45,4,0,0,1.0,0.0,4
ChIJIVANxg7_7pQRFFxljj7uBys,Auto Posto Goioxim,"BR-364, Km 50, s/n - Centro, Goioxim - PR, 85162-000, Brazil",-25.198375,-51.9951478,5,4.2,0.642,4,0,1,0.8,0.0,4
ChIJ9xzOw-nr_JQRcxy1DWeKM8c,Posto Shell,"EST RS 569, SN KM 21 SL 1 - 0, Novo Barreiro - RS, 98338-000, Brazil",-27.90729,-53.11137,5,5.0,0.667,4,0,1,0.8,0.0,4
ChIJs3OAsRyyCJURiXCvSqSYduo,Posto Acegua Shell,"Av Internacional, 225 - Centro, Aceguá - RS, 96445-000, Brazil",-31.8687638,-54.1643352,5,4.6,0.7030000000000001,4,0,1,0.8,0.0,4
ChIJc3qv3njfxpQRlXKzKp_atKI,Posto Real Botucatu,"Av. Mal. Floriano Peixoto, 85-141 - Centro, Botucatu - SP, 18600-360, Brazil",-22.8824587,-48.44100479999999,10,5.0,0.24333333333333335,4,0,6,0.4,0.0,4
ChIJQeHvdQlZzpQRsgAs0QuIhWM,Posto Shell,"R. do Lavapés, 187 - Cambuci, São Paulo - SP, 01519-000, Brazil",-23.5599234,-46.6293204,6,4.0,0.39999999999999997,4,0,2,0.6666666666666666,0.0,4
ChIJtdcu_-rMW5MRXHls0HY8JEI,Posto Shell - POSTO CEILANDIA LTDA,"LOTE A - St. M CNM 2 - Ceilândia, Brasília - DF, 72210-500, Brazil",-15.8169334,-48.10368810000001,3,4.0,0.37916666666666665,3,0,0,1.0,0.0,3
ChIJkTmIi2TTogcRFwzty5BuS1c,Posto Shell,"Av. Pedro Alves, 488 - Centro, Acopiara - CE, 63560-000, Brazil",-6.0927386,-39.4555157,3,5.0,0.9333333333333332,3,0,0,1.0,0.0,3
ChIJwdGG-rSpApURLQ90srobkMM,Auto Posto Fontana,"Av. Osvaldo Júlio Werlang, 934 - São Sebastião, Espumoso - RS, 99400-000, Brazil",-28.72631460000001,-52.8422327,5,4.8,0.36666666666666664,3,0,2,0.6,0.0,3
ChIJZykQixcvyJMRNqNswa3Vohg,Auto Posto Sete de Setembro,"Av. Sete de Setembro, 2346 - Centro, Cacoal - RO, 78975-000, Brazil",-11.4410161,-61.44491540000001,5,4.2,0.44699999999999995,3,0,2,0.6,0.0,3
ChIJpce7aZbWmwAR56_9HZsx9DQ,Gavea Golf and Country Club,"Estr. da Gávea, 800 - São Conrado, Rio de Janeiro - RJ, 22610-002, Brazil",-22.9973444,-43.2643778,5,4.0,0.36598833333333347,4,1,0,0.8,0.2,3
ChIJe6bbBudfzpQRIDd2KhgfiDs,Posto shell tatuape,"R. Filipe Camarão, 461 - Tatuapé, São Paulo - SP, 03065-000, Brazil",-23.5391584,-46.57927979999999,5,3.6,0.23541666666666666,3,0,2,0.6,0.0,3
ChIJmzu_Q6AmngAR_AJ8dYJD0KY,Posto Shell,"Av. Gabriel Alves Fernandes, 787, Caxambu - MG, 37440-000, Brazil",-21.9705781,-44.9275063,4,4.75,0.2583333333333333,3,0,1,0.75,0.0,3
ChIJPT_Y3KPMzZQRxqQWKTPPu4Q,Branco de Castelo - LTDA,"Avenida Pres. Humberto Castelo Branco, 100 - Jardim Florida, Jacareí - SP, 12321-645, Brazil",-23.2999338,-45.98537959999999,4,3.0,0.375,3,0,1,0.75,0.0,3
ChIJCyy22k793JQR0gnfq4woWFQ,Posto Shell,"Av. das Araucárias, 5568 - Chapada, Araucária - PR, 83707-758, Brazil",-25.5527744,-49.3721093,3,4.666666666666667,0.7333333333333334,3,0,0,1.0,0.0,3
ChIJMbJKS9hbzpQRZpkDSPTFdBU,Shell Select,"Av. Dr. Ricardo Jafet, 3274 - Bosque da Saúde, São Paulo - SP, 04123-020, Brazil",-23.603038,-46.62573199999999,3,4.0,0.5847222222222223,3,0,0,1.0,0.0,3
ChIJA7cHq-K8HpURiKYQZxtBnk4,BCR COMERCIO DE COMBUSTIVEIS LTDA,"147,2, BR-116, 15577 - São Ciro, Caxias do Sul - RS, 95100-000, Brazil",-29.145329,-51.13992709999999,5,4.6,0.45999999999999996,3,0,2,0.6,0.0,3
ChIJdRLmx6C7pgARnOduw7Mwyvo,POSTO CHEFAO LTDA,"Av. Toronto, 470 - Jardim Canada, Nova Lima - MG, 34000-973, Brazil",-20.0615205,-43.97809979999999,4,4.0,0.4111607142857143,3,0,1,0.75,0.0,3
ChIJ_WOvRKtlmZQRrHx2opVh5G4,Auto Posto América,"Avenida Cel Gustavo Rodrigues da Silva - R. José Gonçalves de Oliveira, 1684 - Vila Santo Antonio, Paranaíba - MS, 79500-000, Brazil",-19.6851315,-51.18980269999999,4,4.25,0.11666666666666667,3,0,1,0.75,0.0,3
ChIJASDgl4hKzJQRs30h-J40SL4,Tenda Atacado - São José dos Campos,"Av. Andrômeda, 200 - Jardim Satélite, São José dos Campos - SP, 12230-000, Brazil",-23.2193559,-45.89534250000001,4,3.75,0.419140625,3,0,1,0.75,0.0,3
ChIJl7-AIrfJogAR7O37Gu7oUOc,Comércio de Combustível 3D de Leopoldina,"BR-267, 3371 - A Definir, Leopoldina - MG, 36700-000, Brazil",-21.5511324,-42.6707294,5,4.8,0.23666666666666666,3,0,2,0.6,0.0,3
ChIJhb7VSNPYmwARiZ7r9gwoxXo,Auto Posto Quinta do Rio Grande,"Estr. do Rio Grande, 4136 - Taquara, Rio de Janeiro - RJ, 22723-002, Brazil",-22.9185097,-43.4059469,5,3.0,0.355,3,0,2,0.6,0.0,3
ChIJy5ZTyEdRpQARHia7hhUIxDo,Posto Campestre,"Praça Olímpica, 26 - Funcionários, Timóteo - MG, 35180-414, Brazil",-19.5504368,-42.6466302,5,4.8,0.18,3,0,2,0.6,0.0,3
ChIJuQw8tdmTuwARplE1MB6IGMk,Auto Posto Redenção Shell Grupo Nazarão,"Pça. João Acacinho, 160 - Centro, Guaçuí - ES, 29560-000, Brazil",-20.7724747,-41.67777429999999,5,4.6,0.4619999999999999,3,0,2,0.6,0.0,3
ChIJS7xbOFgdzpQRYOVAoOnVmGg,Auto Posto Presidente Costa,"Av. Pres. Costa e Silva, 735 - Boqueirão, Praia Grande - SP, 11701-005, Brazil",-24.0069632,-46.4137702,5,5.0,0.21666666666666665,3,0,2,0.6,0.0,3
ChIJi9IgxkYPtZQRzrLkMIqr3IU,Auto Posto Sofia,"Avenida José da Costa Luiz Maia - Centro, Cristais - MG, 37275-000, Brazil",-20.8780597,-45.51172649999999,5,4.6,0.44000000000000006,3,0,2,0.6,0.0,3
ChIJv3G660tbzpQRu0vEYndynhg,Loja Shell Select - POSTO SHELL - MASH POSTOS E SERV LTDA,"Av. Pres. Tancredo Neves, 1265 - Cursino, São Paulo - SP, 04287-100, Brazil",-23.6161648,-46.6087795,3,3.6666666666666665,0.5083333333333333,3,0,0,1.0,0.0,3
ChIJ7aIjszNYzpQRS7Hmg2C87yI,Posto Shell,"R. Fernando de Albuquerque, 216 - Consolação, São Paulo - SP, 01309-030, Brazil",-23.55333299999999,-46.6582757,4,4.25,0.24999999999999997,3,1,0,0.75,0.25,2
ChIJByDhiF1OnAARnUA5mnjnL2Q,Posto Shell,"R. José Belmiro da Paixão, 210 - Balneário, Angra dos Reis - RJ, 23900-000, Brazil",-22.9998876,-44.3042378,4,4.0,0.4775,2,0,2,0.5,0.0,2
ChIJFeGZIZ-XpgARDsxc9hhQI-0,POSTO SHELL - REDE PHOENIX - CALAFATE,"Av. Teresa Cristina, 1675 - Prado, Belo Horizonte - MG, 30410-600, Brazil",-19.9207408,-43.9694944,5,2.6,0.10906249999999999,2,0,3,0.4,0.0,2
ChIJ4_vBKAg-mQARf7LYyTCTStc,Posto Turcão GNV,"Av. Mal. Rondon, 94 - Vila Selma, Miguel Pereira - RJ, 26900-000, Brazil",-22.4758905,-43.4952616,5,4.4,0.13333333333333333,2,0,3,0.4,0.0,2
ChIJ3xRpEMElz5QR5pUhBxtqNjI,Posto Shell,"Av. Pref. Luis Latorre, 5665 - Vila Guarani, Jundiaí - SP, 13209-430, Brazil",-23.1733646,-46.91662599999999,5,2.2,0.09666666666666665,2,0,3,0.4,0.0,2
ChIJI-CJwblzGZUR7sN72KdnOT8,Abastecedora de Combustiveis Sa,"Av. Mal. Rondon, 1618 - Vila Vista Alegre, Cachoeirinha - RS, 94955-240, Brazil",-29.9174031,-51.0700333,8,5.0,0.10416666666666666,2,0,6,0.25,0.0,2
ChIJYw2sSQcfzpQR5_mkdJBMWKk,Auto Posto DELTA MAR OCIAN,"Avenida Presidente Kenedi - Real, Praia Grande - SP, 11700-000, Brazil",-24.0266468,-46.482015,4,3.0,0.1625,2,0,2,0.5,0.0,2
ChIJy-n3ufQkkZQR1vFqe-5Jc7s,Gringo - Auto Posto,"Av. Nove de Julho, 1957-2043 - Vila Staut, Tupi Paulista - SP, 17930-000, Brazil",-21.392121,-51.57738459999999,5,4.8,0.3,2,0,3,0.4,0.0,2
ChIJI0vMaXZdmQARCGSD9Gf80mE,Posto de Gasolina Bar e Restaurante Imperatriz,"Rod. Pres. Dutra - Posse, Nova Iguaçu - RJ, 26030-003, Brazil",-22.7409354,-43.49879680000001,5,3.8,0.282,2,0,3,0.4,0.0,2
ChIJz7h6r_dT3JQRvVD5-Je4nk8,Auto Posto nuele 01,"Rua Francisco Ari Claudino, n293 Bairro Marginal - BR-116 - Centro, Mandirituba - PR, 83800-000, Brazil",-25.7812913,-49.3257035,4,4.75,0.1125,2,0,2,0.5,0.0,2
ChIJJfO2bOlK65QRasIX_JtvOn0,Posto Globo Combustíveis - Shell,"R. Sen. Souza Naves, 720 - Centro, Sertanópolis - PR, 86170-000, Brazil",-23.05727650000001,-51.0387749,8,5.0,0.25,2,0,6,0.25,0.0,2
ChIJ9QTaURAZuAARo-a397yYQhc,Posto Shell Prime - Norte Sul,"Av. José Maria Vivacqua Santos, 2 - Jardim Camburi, Vitória - ES, 29075-650, Brazil",-20.2530585,-40.2728999,5,2.8,0.18733333333333332,2,0,3,0.4,0.0,2
