PLACE ID ,RAZAOSOCIAL
ChIJ7T9lvKKkBgcR76Im1Vta5sw,REVCOM-REVENDA DE COMBUSTIVEIS LTDA
ChIJNfsZ_rhXuAARjNK8xskk1zU,AUTO POSTO BUDIÃƒO LTDA.
INVALID,MACTRA COMÃ‰RCIO DE COMBUSTÃVEIS E LUBRIFICANTES LTDA.
ChIJeQ2XB7Tb6wcRWAI7TZNmNTc,A. M. V. COMERCIO DE PETROLEO LTDA - EPP
ChIJPwX3JAbH6gcRwPCnxseWv1M,POSTO DE COMBUSTIVEIS IPUEIRINHA LTDA
INVALID,AUTO POSTO Z+Z 307 NORTE LTDA
ChIJjcTqf2yVtQARINT-uSLjW8E,AUTO POSTO 4 RODAS LTDA
ChIJNfsZ_rhXuAARjNK8xskk1zU,AUTO POSTO TUPYJARA LTDA
ChIJc2GaItYpoJMRGW0yGLk8K1U,AUTO POSTO COMELLI LTDA
ChIJda1OQggynZQRSrvz-ZBhlXM,IRMAOS CUNHA LTDA
ChIJ4UppljZffJQRVi7n2k7DuLk,POSTO TATINHA IV LTDA
ChIJbWEAB20oogARMCtNhA6sMwo,AUTO POSTO RESSAQUINHA LTDA
ChIJl3jVXvDzpgARSRIm7hZUZK4,POSTO ESMERALDAS LTDA
ChIJD0Pz3TOXsJMR0KvozPtYhEM,JVA - COMERCIO DE COMBUSTIVEIS LTDA
ChIJmQRnWCvGIZMRuNwHHRXJsWc,AUTO POSTO FLOR DO NORTE LTDA - ME
 ChIJs8t2XhLUG5MRCqpmniE-PHg,J C MOREIRA DA SILVA & CIA LTDA
ChIJQzPyhg36y5QREj01UinWBzM,AUTO POSTO CAMBUI LTDA
 ChIJNf4u2v9yUwcRCQajBW5jW5Q,JVM DERIVADOS DE PETROLEO E TRANSPORTES LTDA
 ChIJZy3fyqq7mAARA9wfQK7o-to,POSTO PENA BRANCA LTDA
ChIJdQpZD-x-mQARmGJe8yGK-GE,POSTO E GARAGEM PEROLA LTDA
ChIJa4dADYVA-ZQRJbzAhnYQOWU,POSTO DE COMBUSTIVEIS GIARETTA LTDA - EPP
ChIJxS-ip1a9ngARm651t3MEUNU,SUINA DERIVADOS DE PETROLEO LTDA
ChIJ01gKO8TQmwARbO1TA2hx5N8,POSTO JARDIM OCEANICO LTDA.
ChIJEbW0N1J7mQAR7_coa-l4_xk,POSTO DE ABASTECIMENTO E LUBRIFICACAO AGUA GRANDE LTDA.
ChIJvdXI4Ct8mQARvfbzskwA7z4,POSTO VIANENSE DE PETROLEO LTDA
ChIJkVO18F1mmQARlVd8GG0r84g,POSTO RIO SAO PAULO LTDA
ChIJSwj9KKb7mwAR4HuCRCEb18k,AUTO POSTO DE GASOLINA PORTELA DOIS LTDA
ChIJu0ASgGdkmQARsBRRqhPKlek,POSTO SERVICO VIP DE SAO JOAO DE MERITI LTDA
ChIJi38vRhIAswcRoqquX20IM0Y,QUIRINO E SOUZA COMERCIO DE PETROLEO E SERVICOS LTDA
ChIJ8-R8K4sw45QRwkSallfwspY,JURACI ANTONINHO BIAZIN
ChIJk03eS4SDmQAR-bQ8FYDErrQ,POSTO MONSENHOR ESCRIVA LTDA
ChIJuR1DCr2u75QRJ7qEexdBBVA,"KONJUNSKI, KONJUNSKI & CIA LTDA"
ChIJe8jdwsB9mQARgx2XYPbXVjQ,POSTO DE COMBUSTIVEIS CAPITAO ENGENHO NOVO LTDA
ChIJyxabfg2GmQARtao-ReARqlQ,POSTO JARDIM UBA LTDA
ChIJlYA4J7bv3JQRx8FuMA4JTjg,POSTO ZAKA PINHAIS LTDA
ChIJq7FRn9ER6pQRCL1AkZEU_iA,A.C. DE SOUZA - COMBUSTIVEIS - EIRELI
ChIJPwqRxij68JQR1gFwtQ9xl5w,ELIZANDRO EUCLIDES TITON & CIA LTDA
ChIJIbTUVXtVlgARQBFy0AyMsQk,SOL BUZIOS COMERCIO E DISTRIBUICAO LTDA
ChIJxW5s020cqwcRKXoazU36BEI,POSTO LEAO DA ILHA LTDA
ChIJZSIU-OAwlgARLhhPUIR-LTY,POSTO CANCELA SERVICOS E COMERCIO LTDA
ChIJmcaMY4OU65QRiQIhmCreGOc,POSTO DEDUCH LTDA
ChIJNfsZ_rhXuAARjNK8xskk1zU,AUTO POSTO MONI LTDA
ChIJzS6ebqP4zpQRLo8-SqRfqQM,CISNE BRANCO AUTO POSTO LTDA
ChIJ-YDXneJdzpQRwYiCWadFrew,AUTO POSTO VENCEDOR LTDA
ChIJ89JbwP9XzpQRcvAQHySjFrA,CENTRO AUTOMOTIVO FIANDEIRAS LTDA
ChIJfVXYvqVYzpQRYszQI5Sjaic,POSTO VILA RICA DERIVADOS DE PETROLEO LTDA
ChIJS1Bz8pj3u5QRW8ggGmF2Kwo,MONTE AZUL COMERCIAL DE PRODUTOS DE PETROLEO EIRELI
ChIJdbGTYQNOz5QRcSVHt812qDE,POSTO MIL SALTO LTDA
ChIJD-PaklJdzpQRL_BhDQJ4GtY,AUTO POSTO CAMILOPOLIS LTDA
ChIJazm9-WL4zpQR3-w8TuiRLG8,AUTO POSTO ALBION LTDA
ChIJu62HRgNOz5QR0dm0mA4Ib6I,POSTO M. DEODORO DE SALTO LIMITADA
ChIJe8rsQ-avvpQRjuhrK2c_yD4,AUTO POSTO CENTRAL DE SANTA ADELIA LTDA
ChIJHyEkK0BYzpQR4fIH--kvqcQ,AUTO POSTO ARINELLA CENTRO LTDA
ChIJyxzwlTn4zpQRcW71wuH2-bI,AUTO POSTO MARINI LTDA
ChIJny807Hn2zpQRl7pRVgVaBCE,POSTO DE SERVICO VILA MAZZEI LTDA
ChIJGTqBHLpXzpQRgMv_fxIuo2E,POSTO ALTO DE PINHEIROS LTDA
ChIJJ_g7QCv5zpQRyLnp68HNAdg,AUTO POSTO SETE ESTRELAS LTDA
ChIJ3ZjBjZiPmQAR4HUR0Bc-dzo,AUTO POSTO RIO DO OURO LTDA
INVALID,CENTRO AUTOMOTIVO CCC LTDA
INVALID,AUTO POSTO CAXAMBU LTDA
ChIJbdFLD3RjzZQRdQcFjvJMPVE,AUTO POSTO CARAGUA LTDA
ChIJ-8pvp94Fz5QR5V2FU5eVySk,AUTO POSTO NOVA ITAPEVI LTDA
ChIJszRFEvZfzpQRqAJc-px9OuY,AUTO POSTO MANCINI LTDA
INVALID,AUTO POSTO PIOTTO LTDA
INVALID,TURISMO POSTO DE SERVICOS LTDA
ChIJy6gqZ1e4yJQRTJSFPVki4l4,AUTO POSTO CHACARAS DO COELHO LTDA
ChIJ68HzWMm7yJQRuOlfiv0W7no,CENTRO AUTOMOTIVO E ALIMENTICIO COMPANHEIRO LTDA
ChIJO5uFNs4lz5QRiq_33TwWqY0,AUTO POSTO RETIRO LTDA
ChIJS9zUBwrczZQRidKBLiyvFCA,AUTO POSTO COCUERA DE MOGI LTDA
ChIJBzeQ44oQyZQRvQNRsIb0W8g,ALMEIDA & KEMPERS LTDA
ChIJTzVysLzmxZQRBpWeua0wBUI,AUTO POSTO PADOVAN LTDA
ChIJs_BqOwCnzpQRlpx9SY1QOuc,AUTO POSTO GIGANTE DE JOANOPOLIS LTDA
ChIJjQowEZkeIZURFAzZLuPAbaY,OENNING & CIA LTDA
EkFBdi4gSnVuZGlhw60sIDkyNiAtIEFuaGFuZ2FiYcO6LCBKdW5kaWHDrSAtIFNQLCAxMzIwOC0wNTMsIEJyYXppbCIxEi8KFAoSCd9IxaWcJs-UEcGOqJPYRsk6EJ4HKhQKEgknG319mybPlBEc34yyvxWyNw,AUTO POSTO PARQUE DA UVA DE JUNDIAI LTDA
 ChIJFYWA0Zwmz5QRuvZKncGYjO0,AUTO POSTO TELLES LTDA
ChIJE7AHkjrBzpQRaBBKQrf5PTY,SERV POSTO PERFIL LTDA
ChIJp2GrCgb1zpQRDbhsxFLTEys,AUTO POSTO O CHEFAO LTDA
ChIJn6w71Otai5QRK-3vCcJir0E,TORK OIL ELDORADO LTDA
ChIJOWPyWOX2pgARR0PpvOXQCbk,POSTO FLORIDA LTDA
ChIJv_ZS-7FduwAR2-SA08_kVsY,AUTO POSTO XODOZAO LTDA
ChIJ3V04PNQWsJQRr4Zrv8kP5ec,MAXDIESEL VEICULOS E PECAS - EIRELI
ChIJ9-yyac_zoJMR-sXWirCrzMA,GELLER AUTO POSTO LTDA
ChIJBz0VxvyCiZQRX8hbuaaFfCM,POSTO NOVA ESPERANCA LTDA
ChIJTRIdha-_XpMRuvleypKcVCI,BSB BANCARIOS COMERCIAL DE COMBUSTIVEIS LTDA
ChIJt-fviBSWXpMR2OGP_OVBtMA,POSTO CACIQUE LTDA
ChIJYatYjQNfz5QR7fMDxHFjSOo,AUTO POSTO GALLE PETRO LTDA
